nr,bpm,spec flat,spec skew,kurt,zero cross,hpss,vocal,bin1,bin2,bin3,bin4,bin5,bin6,bin1 mean freq,bin1 std,bin1 q25,bin1 q75,bin2 mean freq,bin2 std,bin2 q25,bin2 q75,bin3 mean freq,bin3 std,bin3 q25,bin3 q75,bin4 mean freq,bin4 std,bin4 q25,bin4 q75,bin5 mean freq,bin5 std,bin5 q25,bin5 q75,bin6 mean freq,bin6 std,bin6 q25,bin6 q75
0,103,64,2,0.9904798505902392,44524,1,1,393008,264,32,9,5,3,0.0,0.0,0.0,0.0,2.9998782e-06,1.6206497e-05,1.1141991496099735e-09,1.2605604737814247e-07,0.00041073887,8.364717e-05,0.0003389659686945379,0.0004755059053422883,0.0007592698,9.6706775e-05,0.0006609825504710898,0.0008412130991928279,0.0010628994,8.633942e-05,0.0010041182395070791,0.0010994969634339213,0.0013145823,2.8742934e-05,0.0012918853899464011,0.001341409981250763
1,107,79,2,1.3175596794570401,47676,1,1,393168,88,30,20,10,5,0.0,0.0,0.0,0.0,2.8905877e-06,2.4367222e-05,9.479669826895076e-10,1.2801983828580887e-07,0.0010436567,0.00020962727,0.0008788224076852202,0.001183453801786527,0.002065971,0.00020197635,0.001922767231008038,0.0021954563562758267,0.002720206,0.00018878531,0.0026049986481666565,0.0028206437709741294,0.0034181871,0.00018303352,0.0032674508984200656,0.0035075527848675847
2,135,18,2,1.0995778197041641,33586,1,0,392231,814,213,45,12,6,0,0,0,0,2.109472e-06,1.3245119e-05,1.2223010104062126e-10,4.0925030475591484e-08,0.0003117621,6.153611e-05,0.00025872768310364336,0.0003546666193869896,0.0005553481,6.242256e-05,0.0004991709138266742,0.0006050392985343933,0.0007700771,6.087199e-05,0.0007247150060720742,0.0008101541316136718,0.0010088434,5.7609028e-05,0.0009629262058297172,0.0010527260310482234
3,117,60,2,3.449599038287805,20727,1,0,201941,50,14,4,4,1,0,0,0,0,2.5621544e-06,2.9137327e-05,1.2917199428141846e-11,5.9516054307096056e-08,0.0016151086,0.0003439333,0.0012898799031972885,0.0019410490931477398,0.002924864,0.00035021562,0.0025957507896237075,0.003195075085386634,0.004057889,0.00039972377,0.003686649550218135,0.0043579068733379245,0.0053639314,0.00032047764,0.005144602851942182,0.005637755151838064
4,143,232,2,1.9716834544652677,63240,1,1,393257,42,11,4,1,6,0.0,0.0,0.0,0.0,2.2318982e-06,1.4440103e-05,6.689822029670722e-10,2.3813162641772578e-07,0.000752276,0.00015116483,0.0006175406742841005,0.0008435513300355524,0.0013772253,0.00015551514,0.0013072723522782326,0.0014371073921211064,0.0017145282,4.3172055e-05,0.0017039913800545037,0.0017416283953934908,0.0024615065,0.0,0.0024615065194666386,0.0024615065194666386
5,107,115,2,1.1835006162552357,52248,1,0,393179,121,12,5,1,3,0.0,0.0,0.0,0.0,2.5493787e-06,1.3391776e-05,1.0870092603809667e-09,1.3576637059031782e-07,0.00039653474,7.19662e-05,0.0003368529141880572,0.0004397103621158749,0.00072642945,0.0001021239,0.0006436252442654222,0.0008041638793656603,0.0009876593,0.00010312571,0.0009126357035711408,0.000967336178291589,0.0013968325,0.0,0.0013968325220048428,0.0013968325220048428
6,135,1061,2,-0.0036801051824078,93448,1,1,391608,1127,405,122,50,9,0.0,0.0,0.0,0.0,4.8174056e-06,2.0998099e-05,8.016830399526498e-08,1.923220736443909e-06,0.0004489296,9.138606e-05,0.00036793851177208126,0.0005186891066841781,0.0007755615,8.6551816e-05,0.000702202320098877,0.0008456298965029418,0.0011075136,9.116169e-05,0.001028718106681481,0.0011849161237478256,0.0014057183,6.5639884e-05,0.0013609951420221478,0.001441853673895821
7,123,80,2,1.5526432249580484,45763,1,0,390502,1917,705,170,24,3,0.0,0.0,0.0,0.0,1.5411307e-06,7.940454e-06,4.4373922591933734e-10,8.023473441198803e-08,0.0001515766,3.0721138e-05,0.00012359295214992017,0.0001754424738464877,0.00025871547,3.0474355e-05,0.00023285303905140609,0.00028299764380790293,0.00036687654,2.9918763e-05,0.000342762672516983,0.00038982041587587446,0.00048336238,2.7331034e-05,0.0004577738873194903,0.0005052295309724286
8,172,239,2,4.357979731424429,59882,1,0,393283,16,13,2,4,3,0.0,0.0,0.0,0.0,1.6207483e-06,1.1807687e-05,7.949574193366615e-10,1.3431360912363743e-07,0.0014330712,0.00023487199,0.0012691517476923764,0.0016398513107560575,0.0022391072,0.00023254084,0.002047891030088067,0.0023974867071956396,0.0033096073,0.0003292819,0.0031449663219973445,0.003474248223938048,0.0043187984,0.00022879672,0.0041879910277202725,0.00451892102137208
9,112,166,2,0.27268868453874173,47541,1,1,391467,691,99,20,6,6,0,0,0,0,4.5764664e-06,3.3305096e-05,3.5153870925341835e-09,4.855384361235338e-07,0.00089873193,0.00017405581,0.000755913439206779,0.001021118019707501,0.0015906444,0.00019379063,0.001433192694094032,0.0017200586153194308,0.002269363,0.00018998048,0.002141371020115912,0.002370135101955384,0.002946344,0.00014411197,0.002839544671587646,0.0030758059583604336
